,obsHistID,filter,expMJD,fieldID,fieldRA,fieldDec,fiveSigmaDepth
503,1563891,g,61887.372739,1000,5.718053,-0.674641,24.427914
504,1564578,u,61888.362419,1000,5.718053,-0.674641,22.788794
505,1566511,i,61890.361173,1000,5.718053,-0.674641,23.732783
506,1566545,i,61890.377064,1000,5.718053,-0.674641,23.807127
507,1567459,r,61891.352885,1000,5.718053,-0.674641,24.231787
508,1567495,r,61891.369274,1000,5.718053,-0.674641,24.315648
509,1572367,y,61897.334128,1000,5.718053,-0.674641,21.302964
510,1575467,y,61900.329359,1000,5.718053,-0.674641,21.590878
511,1577822,r,61908.363786,1000,5.718053,-0.674641,23.933989
512,1577866,r,61908.384927,1000,5.718053,-0.674641,23.988127
513,1582129,i,61918.33299,1000,5.718053,-0.674641,23.928978999999998
514,1582162,i,61918.348035,1000,5.718053,-0.674641,23.970858
515,1586434,z,61928.257808,1000,5.718053,-0.674641,22.010641
516,1586472,z,61928.27614,1000,5.718053,-0.674641,22.100336
517,1587394,u,61943.210208,1000,5.718053,-0.674641,22.942345
518,1587408,u,61943.216862,1000,5.718053,-0.674641,22.989479
519,1592779,y,61955.234019,1000,5.718053,-0.674641,21.707788
520,1595268,y,61958.396914,1000,5.718053,-0.674641,21.588634
521,1595276,y,61958.400755,1000,5.718053,-0.674641,21.580876
522,1601302,i,61964.307551,1000,5.718053,-0.674641,23.205857
523,1601345,i,61964.328268,1000,5.718053,-0.674641,23.19356
524,1601368,i,61964.338666,1000,5.718053,-0.674641,23.182539
525,1601404,i,61964.355933,1000,5.718053,-0.674641,23.156823
526,1601417,i,61964.361885,1000,5.718053,-0.674641,23.145733
527,1601447,i,61964.375767,1000,5.718053,-0.674641,23.115325
528,1601456,i,61964.37989,1000,5.718053,-0.674641,23.105028
529,1601484,i,61964.392583,1000,5.718053,-0.674641,23.069558
530,1601535,i,61964.415951,1000,5.718053,-0.674641,22.988488
531,1602002,r,61965.14483,1000,5.718053,-0.674641,23.531162
532,1602033,r,61965.158893,1000,5.718053,-0.674641,23.57522
533,1602059,r,61965.170597,1000,5.718053,-0.674641,23.61207
534,1602094,r,61965.186383,1000,5.718053,-0.674641,23.644738
535,1604796,g,61974.402367,1000,5.718053,-0.674641,24.033221
536,1604822,g,61974.414899,1000,5.718053,-0.674641,23.964734
537,1606244,g,61976.125732,1000,5.718053,-0.674641,24.129919
538,1606289,g,61976.147252,1000,5.718053,-0.674641,24.239447
539,1609325,y,61980.134729,1000,5.718053,-0.674641,21.319515
540,1610294,y,61981.105304,1000,5.718053,-0.674641,21.395252
541,1610315,y,61981.114719,1000,5.718053,-0.674641,21.433492
542,1610408,r,61981.159077,1000,5.718053,-0.674641,23.944131
543,1610455,r,61981.180787,1000,5.718053,-0.674641,24.030545
544,1612419,y,61983.143284,1000,5.718053,-0.674641,21.076653
545,1612485,y,61983.172927,1000,5.718053,-0.674641,21.141563
546,1613709,y,61985.165614,1000,5.718053,-0.674641,21.692436
547,1613859,z,61986.129636,1000,5.718053,-0.674641,21.879377
548,1613892,z,61986.14491,1000,5.718053,-0.674641,21.931606
549,1616451,y,61990.128056,1000,5.718053,-0.674641,21.683752
550,1617748,z,61991.261317,1000,5.718053,-0.674641,22.470251
551,1617779,z,61991.275969,1000,5.718053,-0.674641,22.451301
552,1619662,i,61993.240263,1000,5.718053,-0.674641,23.310218
553,1619708,i,61993.262437,1000,5.718053,-0.674641,23.282652
554,1621344,r,61995.09055,1000,5.718053,-0.674641,24.381074
555,1621379,r,61995.107282,1000,5.718053,-0.674641,24.449514
556,1621397,r,61995.115719,1000,5.718053,-0.674641,24.479518
557,1621442,r,61995.136899,1000,5.718053,-0.674641,24.487887
558,1622293,g,61996.07715,1000,5.718053,-0.674641,24.192326
559,1622325,g,61996.092443,1000,5.718053,-0.674641,24.266492
560,1625481,u,62002.064062,1000,5.718053,-0.674641,22.988725
561,1626467,u,62005.050194,1000,5.718053,-0.674641,23.034311
